0.0722754	2.73745	0.0304948	1.155	0.0722754	2.73745	-0.0024	2.85	-0.0314	0.9995
-0.082	3.592	-0.0304948	-1.155	-0.082	3.592	-0.0431	3.2476	-0.1564	0.9877
5.41055e+09	-1.42852e+08	7.30325	-1.06893	-0.0139103	3.86007	-0.1334	3.637	-0.279	0.9603
-0.4832	3.977	-14.6296	1.26236	-0.4832	3.977	-0.2717	4.0121	-0.3971	0.9178
2.63535e+09	3.05412e+10	3.00985	41.1697	-0.312252	4.37176	-0.456	4.3668	-0.509	0.8607
-0.8449	4.8452	-6.57835	-82.5252	-0.8449	4.8452	-0.6833	4.6957	-0.6129	0.7902
4.17017e+11	-3.32417e+10	564.234	-46.3359	-0.925776	4.56456	-0.95	4.9934	-0.7071	0.7071
-1.15308	5.0006	-1128.91	91.3481	-1.1531	5.0006	-1.2519	5.2554	-0.7902	0.6129
1.68039e+11	2.07668e+12	226.51	2811.18	-1.3814	5.53441	-1.5843	5.4775	-0.8607	0.509
-2.05396	5.65039	-454.05	-5623.19	-2.054	5.6497	-1.9418	5.6562	-0.9178	0.3971
3.03605e+13	-2.45149e+12	41110.2	-3320.1	-2.86995	6.20361	-2.319	5.7886	-0.9603	0.279
-2.45313	5.97363	-82221	6639.63	-2.4568	5.9733	-2.7098	5.8728	-0.9877	0.1564
9.65198e+12	1.19524e+14	13069.2	161846	-3.15196	5.68819	-3.108	5.9073	-0.9995	0.0314
-3.55078	6	-26138.8	-323692	-3.5509	5.9844	-3.5075	5.8916	-0.9956	-0.0941
1.8234e+15	-1.47243e+14	2.46904e+06	-199381	-3.8472	5.72478	-3.9018	5.8259	-0.9759	-0.2181
-4	5.5	-4.93808e+06	398761	-4.4692	5.4963	-4.2848	5.7114	-0.9409	-0.3387
4.92215e+14	6.09537e+15	666502	8.25366e+06	-4.53969	5.91617	-4.6504	5.5498	-0.891	-0.454
-4.75	8	-1.333e+06	-1.65073e+07	-5.085	5.3564	-4.9928	5.3436	-0.8271	-0.5621
9.73083e+16	-7.85786e+15	1.31764e+08	-1.06402e+07	-5.34375	5.52301	-5.3068	5.0961	-0.7501	-0.6613
64	0	-2.63528e+08	2.12805e+07	-5.6466	4.6928	-5.5872	4.8112	-0.6613	-0.7501
1.92614e+16	2.38525e+17	2.60816e+07	3.22984e+08	-5.55946	4.62022	-5.8297	4.4935	-0.5621	-0.8271
-8	0	-5.21572e+07	-6.45893e+08	-6.1111	4.0798	-6.0305	4.1478	-0.454	-0.891
4.04334e+18	-3.26508e+17	5.47503e+09	-4.42121e+08	-6.16227	3.81461	-6.1864	3.7797	-0.3388	-0.9409
2048	-128	-1.09425e+10	8.8363e+08	-6.155	3.4947	-6.2949	3.395	-0.2182	-0.9759
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-6.70326	3.34363	-6.3543	2.9997	-0.0941	-0.9956
